"","term","gene","human","mouse"
"4339","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Adgrf5","ADGRF5","Adgrf5"
"4340","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mtus2","MTUS2","Mtus2"
"4341","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mmp14","MMP14","Mmp14"
"4342","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Taf9b","TAF9B","Taf9b"
"4343","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TNFRSF13B",NA
"4344","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pde8a","PDE8A","Pde8a"
"4345","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Scg3","SCG3","Scg3"
"4346","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"MMP16",NA
"4347","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Msantd3","MSANTD3","Msantd3"
"4348","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ttc9","TTC9","Ttc9"
"4349","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"GREP1",NA
"4350","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Rnf144b","RNF144B","Rnf144b"
"4351","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Dhdh","DHDH","Dhdh"
"4352","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TRPA1",NA
"4353","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"KCNA1",NA
"4354","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Trex2","TREX2","Trex2"
"4355","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"AKR1D1",NA
"4356","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Il18","IL18","Il18"
"4357","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Epgn","EPGN","Epgn"
"4358","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"BTK",NA
"4359","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pla1a","PLA1A","Pla1a"
"4360","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Serpina9","SERPINA9","Serpina9"
"4361","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Eng","ENG","Eng"
"4362","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","C4a","C4A","C4a"
"4363","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","C4b","C4B","C4b"
"4364","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ccdc102a","CCDC102A","Ccdc102a"
"4365","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"NEFL",NA
"4366","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ADD2",NA
"4367","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Fstl4","FSTL4","Fstl4"
"4368","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mycbpap","MYCBPAP","Mycbpap"
"4369","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SCG2",NA
"4370","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Alpl","ALPL","Alpl"
"4371","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Crym","CRYM","Crym"
"4372","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Abca12","ABCA12","Abca12"
"4373","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Nrn1l","NRN1","Nrn1l"
"4374","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PLA2G7",NA
"4375","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ubd","UBD","Ubd"
"4376","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lrrc8a","LRRC8A","Lrrc8a"
"4377","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lgals3","LGALS3","Lgals3"
"4378","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Atp1a3","ATP1A3","Atp1a3"
"4379","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ccl27a","CCL27","Ccl27a"
"4380","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tfpi","TFPI","Tfpi"
"4381","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"HDC",NA
"4382","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Oplah","OPLAH","Oplah"
"4383","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mak","MAK","Mak"
"4384","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Anxa8","ANXA8","Anxa8"
"4385","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ANXA8L1",NA
"4386","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ecscr","ECSCR","Ecscr"
"4387","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxb6","HOXB6","Hoxb6"
"4388","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Fstl1","FSTL1","Fstl1"
"4389","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Clca1","CLCA1","Clca1"
"4390","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tg","TG","Tg"
"4391","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SERPINH1",NA
"4392","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tnf","TNF","Tnf"
"4393","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"IGFBP7",NA
"4394","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Psca","PSCA","Psca"
"4395","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Klhl31","KLHL31","Klhl31"
"4396","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tacstd2","TACSTD2","Tacstd2"
"4397","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Stab1","STAB1","Stab1"
"4398","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"BCL2A1",NA
"4399","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mlkl","MLKL","Mlkl"
"4400","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tex12","TEX12","Tex12"
"4401","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gpc2","GPC2","Gpc2"
"4402","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ppic","PPIC","Ppic"
"4403","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PHF11",NA
"4404","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Esyt3","ESYT3","Esyt3"
"4405","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Orai3","ORAI3","Orai3"
"4406","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Spata6","SPATA6","Spata6"
"4407","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Wnt10a","WNT10A","Wnt10a"
"4408","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Fads6","FADS6","Fads6"
"4409","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CCDC42",NA
"4410","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Nbl1","NBL1","Nbl1"
"4411","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ptpn22","PTPN22","Ptpn22"
"4412","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Abcc9","ABCC9","Abcc9"
"4413","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cdh13","CDH13","Cdh13"
"4414","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cd74","CD74","Cd74"
"4415","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Rusc2","RUSC2","Rusc2"
"4416","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Wipf1","WIPF1","Wipf1"
"4417","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"STAG3",NA
"4418","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Myh10","MYH10","Myh10"
"4419","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cd59a","CD59","Cd59a"
"4420","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cacnb1","CACNB1","Cacnb1"
"4421","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lct","LCT","Lct"
"4422","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CD96",NA
"4423","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"FABP12",NA
"4424","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Neb","NEB","Neb"
"4425","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mr1","MR1","Mr1"
"4426","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLIT3",NA
"4427","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PRELP",NA
"4428","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Csgalnact1","CSGALNACT1","Csgalnact1"
"4429","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Dclk3","DCLK3","Dclk3"
"4430","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Palm3","PALM3","Palm3"
"4431","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pmp22","PMP22","Pmp22"
"4432","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Aldh1l1","ALDH1L1","Aldh1l1"
"4433","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Shcbp1l","SHCBP1L","Shcbp1l"
"4434","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"KIRREL1",NA
"4435","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pex5l","PEX5L","Pex5l"
"4436","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C16ORF54",NA
"4437","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Zscan18","ZSCAN18","Zscan18"
"4438","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hrh1","HRH1","Hrh1"
"4439","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SPAM1",NA
"4440","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pcdhga8","PCDHGA8","Pcdhga8"
"4441","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ASCL3",NA
"4442","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Scn1b","SCN1B","Scn1b"
"4443","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hvcn1","HVCN1","Hvcn1"
"4444","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Duoxa2","DUOXA2","Duoxa2"
"4445","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Nts","NTS","Nts"
"4446","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Nt5c1a","NT5C1A","Nt5c1a"
"4447","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Krt33a","KRT33A","Krt33a"
"4448","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hoxd4","HOXD4","Hoxd4"
"4449","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"COX6B2",NA
"4450","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"OR51E2",NA
"4451","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"BOLL",NA
"4452","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Meis3","MEIS3","Meis3"
"4453","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLFN12",NA
"4454","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"SLFN12L",NA
"4455","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Btn2a2","BTN2A2","Btn2a2"
"4456","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Il1r1","IL1R1","Il1r1"
"4457","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pomc","POMC","Pomc"
"4458","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PCDHGA11",NA
"4459","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Rmdn2","RMDN2","Rmdn2"
"4460","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Aspa","ASPA","Aspa"
"4461","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gulp1","GULP1","Gulp1"
"4462","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Otogl","OTOG","Otogl"
"4463","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mgat4c","MGAT4C","Mgat4c"
"4464","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CES3",NA
"4465","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Fn1","FN1","Fn1"
"4466","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CES2",NA
"4467","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C1S",NA
"4468","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Mdfic","MDFIC","Mdfic"
"4469","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cdhr1","CDHR1","Cdhr1"
"4470","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ANKRD40CL",NA
"4471","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tmem52","TMEM52","Tmem52"
"4472","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"OAS1",NA
"4473","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ENPP7",NA
"4474","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Sh3tc2","SH3TC2","Sh3tc2"
"4475","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Hpn","HPN","Hpn"
"4476","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tnni2","TNNI2","Tnni2"
"4477","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Gas7","GAS7","Gas7"
"4478","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Oas3","OAS3","Oas3"
"4479","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","S100a6","S100A6","S100a6"
"4480","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Sptssb","SPTSSB","Sptssb"
"4481","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cnpy1","CNPY1","Cnpy1"
"4482","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Syt14","SYT14","Syt14"
"4483","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Kirrel2","KIRREL2","Kirrel2"
"4484","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Fam167a","FAM167A","Fam167a"
"4485","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lims2","LIMS2","Lims2"
"4486","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tubg2","TUBG2","Tubg2"
"4487","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Il17re","IL17RE","Il17re"
"4488","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Msln","MSLN","Msln"
"4489","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"RNASET2",NA
"4490","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Efcab12","EFCAB12","Efcab12"
"4491","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"C1QA",NA
"4492","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"PCDHGB4",NA
"4493","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Pxdn","PXDN","Pxdn"
"4494","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Chst2","CHST2","Chst2"
"4495","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"GCG",NA
"4496","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Dnah10","DNAH10","Dnah10"
"4497","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"TDRD5",NA
"4498","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Ctse","CTSE","Ctse"
"4499","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Spp1","SPP1","Spp1"
"4500","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Wscd1","WSCD1","Wscd1"
"4501","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Map6","MAP6","Map6"
"4502","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Lefty1","LEFTY1","Lefty1"
"4503","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"LEFTY2",NA
"4504","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Cldn1","CLDN1","Cldn1"
"4505","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Atp2b4","ATP2B4","Atp2b4"
"4506","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Tex14","TEX14","Tex14"
"4507","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CELA3B",NA
"4508","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"CELA3A",NA
"4509","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Alppl2","ALPP","Alppl2"
"4510","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)",NA,"ALPG",NA
"4511","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Alpi","ALPI","Alpi"
"4512","Genes up-regulated upon HDAC2 deletion in murine enteroid (Gonneaud et al., 2019)","Retnlb","RETNLB","Retnlb"
